event_id,session_id,user_id,event_step,event_time,device_type,browser,traffic_source,product_id,product_category,product_price,order_value,payment_method,location
1,S_1999,U_540,Product_Page,2025-07-05 20:15:00,Mobile,Safari,Direct,P_261,Home & Kitchen,3705.25,0.0,UPI,Kolkata
2,S_1973,U_640,Purchase,2025-10-13 18:09:00,Mobile,Safari,Facebook,P_101,Clothing,1714.64,9956.75,COD,Chennai
3,S_1759,U_145,Add_to_Cart,2025-07-27 06:21:00,Mobile,Safari,Instagram,P_206,Home & Kitchen,305.47,0.0,COD,Hyderabad
4,S_1673,U_210,Add_to_Cart,2025-10-06 02:52:00,Desktop,Firefox,Email,P_217,Electronics,2084.8,623.14,UPI,Delhi
5,S_1676,U_155,Homepage,2025-07-30 04:40:00,Desktop,Chrome,Email,P_234,Sportswear,3767.5,9009.56,Debit Card,Chennai
6,S_1431,U_235,Homepage,2025-07-22 20:43:00,Desktop,Chrome,Email,P_282,Sportswear,1005.11,6965.22,COD,Kolkata
7,S_1911,U_436,Homepage,2025-08-05 22:17:00,Desktop,Safari,Google,P_139,Clothing,2672.57,0.0,Credit Card,Kolkata
8,S_1320,U_419,Checkout,2025-06-24 18:20:00,Mobile,Edge,Google,P_132,Electronics,1297.91,0.0,COD,Kolkata
9,S_1678,U_398,Add_to_Cart,2025-10-24 12:02:00,Mobile,Chrome,Email,P_280,Home & Kitchen,650.73,0.0,COD,Kolkata
10,S_1734,U_74,Add_to_Cart,2025-08-25 09:05:00,Desktop,Firefox,Direct,P_168,Sportswear,3202.02,0.0,Debit Card,Mumbai
11,S_1430,U_492,Homepage,2025-07-07 16:40:00,Desktop,Edge,Direct,P_132,Sportswear,4774.25,0.0,COD,Kolkata
12,S_1185,U_694,Purchase,2025-06-22 18:17:00,Desktop,Edge,Google,P_191,Sportswear,1760.31,2222.27,UPI,Kolkata
13,S_1070,U_461,Checkout,2025-09-20 00:38:00,Mobile,Edge,Email,P_243,Sportswear,3029.04,0.0,Debit Card,Mumbai
14,S_1410,U_557,Homepage,2025-10-04 15:19:00,Desktop,Edge,Direct,P_252,Beauty,4781.94,0.0,COD,Hyderabad
15,S_1485,U_53,Homepage,2025-09-08 17:57:00,Mobile,Chrome,Google,P_109,Clothing,3357.27,6533.82,UPI,Bangalore
16,S_1071,U_73,Homepage,2025-10-14 15:40:00,Desktop,Safari,Email,P_256,Home & Kitchen,3463.63,0.0,UPI,Kolkata
17,S_1418,U_658,Product_Page,2025-06-24 19:46:00,Mobile,Edge,Facebook,P_251,Home & Kitchen,1140.96,0.0,COD,Kolkata
18,S_1496,U_40,Product_Page,2025-10-20 19:46:00,Mobile,Firefox,Email,P_131,Clothing,2615.27,0.0,Credit Card,Chennai
19,S_1985,U_306,Product_Page,2025-08-18 09:21:00,Desktop,Firefox,Email,P_125,Electronics,2025.29,0.0,Credit Card,Delhi
20,S_1469,U_340,Product_Page,2025-09-02 17:22:00,Desktop,Safari,Instagram,P_235,Clothing,2513.5,0.0,COD,Chennai
21,S_1090,U_274,Add_to_Cart,2025-07-14 00:52:00,Mobile,Chrome,Instagram,P_275,Sportswear,4063.88,2866.42,COD,Kolkata
22,S_1806,U_389,Homepage,2025-09-29 21:00:00,Desktop,Safari,Facebook,P_104,Sportswear,2465.29,7047.23,UPI,Hyderabad
23,S_1407,U_568,Product_Page,2025-08-27 02:40:00,Mobile,Edge,Facebook,P_200,Clothing,595.4,0.0,COD,Chennai
24,S_1219,U_10,Product_Page,2025-08-12 10:37:00,Mobile,Chrome,Email,P_298,Clothing,4556.05,7580.56,COD,Hyderabad
25,S_1301,U_328,Product_Page,2025-07-13 00:55:00,Mobile,Chrome,Direct,P_135,Home & Kitchen,2860.63,0.0,UPI,Hyderabad
26,S_1193,U_314,Checkout,2025-09-08 00:17:00,Mobile,Edge,Facebook,P_222,Home & Kitchen,4645.12,0.0,COD,Kolkata
27,S_1448,U_654,Homepage,2025-08-28 17:01:00,Desktop,Firefox,Email,P_214,Beauty,2990.07,0.0,COD,Hyderabad
28,S_1293,U_422,Product_Page,2025-10-12 06:14:00,Desktop,Edge,Google,P_192,Beauty,627.29,8225.53,COD,Chennai
29,S_1168,U_527,Add_to_Cart,2025-09-21 03:56:00,Mobile,Safari,Instagram,P_282,Sportswear,2898.49,6240.8,UPI,Mumbai
30,S_1198,U_654,Homepage,2025-08-29 14:57:00,Desktop,Edge,Direct,P_272,Beauty,3005.97,0.0,COD,Delhi
31,S_1762,U_490,Add_to_Cart,2025-09-23 19:42:00,Mobile,Firefox,Email,P_240,Beauty,1307.4,0.0,Credit Card,Hyderabad
32,S_1278,U_668,Homepage,2025-10-23 14:47:00,Desktop,Edge,Google,P_250,Electronics,2513.84,0.0,COD,Kolkata
33,S_1559,U_326,Homepage,2025-08-19 03:46:00,Desktop,Safari,Instagram,P_299,Clothing,2459.38,0.0,Credit Card,Bangalore
34,S_1096,U_100,Purchase,2025-08-22 03:41:00,Tablet,Safari,Google,P_247,Home & Kitchen,3227.52,0.0,COD,Hyderabad
35,S_1822,U_155,Purchase,2025-07-15 13:46:00,Desktop,Firefox,Email,P_261,Beauty,1520.19,0.0,UPI,Chennai
36,S_1602,U_459,Checkout,2025-06-14 00:48:00,Tablet,Safari,Facebook,P_190,Home & Kitchen,3034.22,3667.91,Credit Card,Hyderabad
37,S_1728,U_632,Product_Page,2025-06-15 15:45:00,Tablet,Safari,Instagram,P_234,Beauty,1432.47,0.0,COD,Bangalore
38,S_1406,U_236,Homepage,2025-06-09 13:16:00,Mobile,Edge,Google,P_117,Beauty,2398.29,0.0,COD,Mumbai
39,S_1046,U_128,Add_to_Cart,2025-10-29 04:49:00,Mobile,Chrome,Facebook,P_296,Sportswear,876.72,0.0,COD,Chennai
40,S_1589,U_391,Product_Page,2025-06-27 03:34:00,Mobile,Safari,Direct,P_180,Electronics,475.31,733.53,COD,Chennai
41,S_1544,U_755,Homepage,2025-09-28 02:05:00,Mobile,Safari,Email,P_286,Clothing,1806.76,0.0,UPI,Kolkata
42,S_1529,U_84,Product_Page,2025-10-04 06:57:00,Desktop,Firefox,Email,P_248,Clothing,1590.49,0.0,Debit Card,Chennai
43,S_1790,U_474,Homepage,2025-08-02 09:46:00,Mobile,Firefox,Instagram,P_194,Sportswear,2212.6,0.0,Credit Card,Bangalore
44,S_1592,U_498,Purchase,2025-07-05 08:27:00,Mobile,Edge,Google,P_116,Sportswear,4821.32,7892.71,COD,Chennai
45,S_1031,U_420,Product_Page,2025-06-20 09:17:00,Mobile,Edge,Direct,P_209,Clothing,2754.48,0.0,UPI,Mumbai
46,S_1060,U_397,Add_to_Cart,2025-10-01 06:25:00,Mobile,Safari,Instagram,P_111,Clothing,2899.93,0.0,Debit Card,Delhi
47,S_1722,U_716,Product_Page,2025-09-10 10:02:00,Desktop,Chrome,Instagram,P_206,Electronics,4725.52,0.0,UPI,Delhi
48,S_1659,U_743,Product_Page,2025-10-07 14:45:00,Mobile,Chrome,Google,P_255,Beauty,4629.39,2255.01,COD,Hyderabad
49,S_1165,U_639,Product_Page,2025-09-26 12:36:00,Mobile,Edge,Direct,P_256,Electronics,4455.33,6172.72,Debit Card,Delhi
50,S_1950,U_236,Homepage,2025-08-13 12:29:00,Desktop,Firefox,Google,P_281,Clothing,760.58,8662.11,Credit Card,Bangalore
51,S_1824,U_391,Purchase,2025-10-28 21:32:00,Tablet,Safari,Email,P_265,Beauty,3281.2,0.0,Credit Card,Delhi
52,S_1465,U_46,Checkout,2025-10-17 14:46:00,Mobile,Safari,Facebook,P_148,Clothing,4098.07,0.0,UPI,Bangalore
53,S_1889,U_627,Purchase,2025-06-10 06:28:00,Mobile,Chrome,Email,P_140,Electronics,4227.2,6907.09,Credit Card,Bangalore
54,S_1022,U_764,Checkout,2025-09-22 15:11:00,Mobile,Edge,Email,P_154,Electronics,3016.16,2946.38,Credit Card,Hyderabad
55,S_1002,U_145,Add_to_Cart,2025-06-28 00:01:00,Mobile,Chrome,Instagram,P_258,Electronics,382.23,0.0,Debit Card,Delhi
56,S_1684,U_305,Purchase,2025-09-11 03:29:00,Desktop,Chrome,Email,P_175,Beauty,4876.45,0.0,Credit Card,Hyderabad
57,S_1425,U_159,Homepage,2025-08-26 01:03:00,Mobile,Edge,Direct,P_180,Home & Kitchen,2519.32,0.0,Debit Card,Chennai
58,S_1693,U_484,Homepage,2025-08-06 02:18:00,Desktop,Firefox,Email,P_180,Home & Kitchen,2149.9,0.0,Debit Card,Mumbai
59,S_1107,U_190,Homepage,2025-07-17 14:40:00,Mobile,Safari,Direct,P_121,Clothing,2156.26,0.0,Debit Card,Delhi
